ET | 2018-12-31 : 0.22 : 12.941 | 2018-09-30 : 0.32 : 16.7476 | 2018-06-30 : 0.31 : 16.3079 | 2018-03-31 : 0.31 : 13.1824 | 2017-12-31 : 0.22 : 15.7324 | 2017-09-30 : 0.22 : 15.5791
COHU | 2018-09-30 : 0.16 : 24.933 | 2018-06-30 : 0.39 : 24.2909 | 2018-03-31 : 0.28 : 22.5523 | 2017-12-31 : 0.23 : 21.6355 | 2017-09-30 : 0.3 : 23.4408 | 2017-06-30 : 0.36 : 15.4242
PAAS | 2018-12-31 : -0.42 : 14.5617 | 2018-09-30 : -0.06 : 14.6814 | 2018-06-30 : 0.24 : 17.7641 | 2018-03-31 : 0.31 : 15.9956 | 2017-12-31 : 0.32 : 15.3761 | 2017-09-30 : 0.11 : 16.8199
RVNC | 2018-12-31 : -1.12 : 20.13 | 2018-09-30 : -0.91 : 24.85 | 2018-06-30 : -0.94 : 27.45 | 2018-03-31 : -0.97 : 30.8 | 2017-12-31 : -1.15 : 35.75 | 2017-09-30 : -1.01 : 27.55
ARD | 2018-12-31 : -0.61 : 10.9645 | 2018-09-30 : 0.03 : 16.3351 | 2018-06-30 : 0.25 : 16.1202 | 2018-03-31 : -0.06 : 17.979 | 2017-12-31 : 0.14 : 20.1536 | 2017-09-30 : 0.26 : 20.3048
SIGA | 2018-09-30 : 4.71 : 6.89 | 2018-06-30 : -0.09 : 5.94 | 2018-03-31 : -0.15 : 6.13 | 2017-12-31 : -0.13 : 4.85 | 2017-09-30 : -0.12 : 3.17 | 2017-06-30 : -0.1 : 3.04
VRSN | 2018-12-31 : 1.5 : 148.29 | 2018-09-30 : 1.13 : 160.12 | 2018-06-30 : 1.04 : 137.42 | 2018-03-31 : 1.09 : 118.56 | 2017-12-31 : 0.83 : 114.44 | 2017-09-30 : 0.93 : 106.39
PDS | 2018-12-31 : -0.5067 : 1.74 | 2018-09-30 : -0.0765 : 3.46 | 2018-06-30 : -0.124 : 3.32 | 2018-03-31 : -0.0475 : 2.77 | 2017-12-31 : -0.1258 : 3.02 | 2017-09-30 : -0.0718 : 3.12
CP | 2018-12-31 : 2.896 : 177.1953 | 2018-09-30 : 3.327 : 210.8575 | 2018-06-30 : 2.356 : 181.6551 | 2018-03-31 : 1.908 : 174.7081 | 2017-12-31 : 5.299 : 180.3324 | 2017-09-30 : 2.792 : 165.2897
SDRL | 2018-09-30 : -2.4 : 24.78 | 2017-09-30 : -0.45 : 0.35
